date,symbol,direction,strength,auction_interval_min,realised_end,realised_sessions
2021-03-24,3276,long,0.2985,5.0,2021-04-08,10
2021-03-24,5205,long,0.5357,45.0,2021-04-08,10
2021-03-24,5608,long,0.4504,5.0,2021-04-08,10
2021-03-24,6283,long,0.3715,5.0,2021-04-08,10
2021-03-25,2399,long,0.5199,5.0,2021-04-23,20
2021-03-25,2415,long,-0.0224,5.0,2021-04-09,10
2021-03-25,3288,long,0.6564,5.0,2021-04-09,10
2021-03-25,3294,long,0.6503,5.0,2021-04-09,10
2021-03-25,3383,long,0.609,10.0,2021-04-09,10
2021-03-26,2929,long,-0.4067,10.0,2021-04-12,10
2021-03-26,6103,long,0.0296,45.0,2021-04-20,16
2021-03-26,6589,long,0.8281,20.0,2021-04-15,13
2021-03-29,3021,long,0.538,5.0,2021-04-13,10
2021-03-31,3552,long,-0.0111,20.0,2021-04-15,10
2021-04-01,3093,long,0.5113,5.0,2021-04-21,13
2021-04-06,4419,long,0.3964,45.0,2021-04-19,10
2021-04-06,6590,long,0.5908,5.0,2021-04-19,10
2021-04-07,1592,long,-0.7033,10.0,2021-04-20,10
2021-04-07,2597,long,0.6707,5.0,2021-04-20,10
2021-04-07,3362,long,2.1317,20.0,2021-04-20,10
2021-04-07,5272,long,0.8266,5.0,2021-04-20,10
2021-04-08,1517,long,0.8646,5.0,2021-04-26,13
2021-04-08,5310,long,0.6708,45.0,2021-04-21,10
2021-04-08,6494,long,0.7519,5.0,2021-04-21,10
2021-04-09,1438,long,2.2876,5.0,2021-04-22,10
2021-04-09,2108,long,0.9372,5.0,2021-04-27,13
2021-04-09,2465,long,1.098,20.0,2021-04-22,10
2021-04-09,3149,long,0.7867,5.0,2021-04-22,10
2021-04-09,5529,long,0.6996,5.0,2021-04-22,10
2021-04-09,6150,long,0.6148,20.0,2021-04-22,10
2021-04-09,6237,long,0.7571,5.0,2021-04-22,10
2021-04-12,3230,long,2.466,5.0,2021-04-23,10
2021-04-12,4304,long,0.5615,10.0,2021-04-23,10
2021-04-12,5245,long,0.42,5.0,2021-04-23,10
2021-04-12,8277,long,0.7073,5.0,2021-04-23,10
2021-04-13,1471,long,1.0539,5.0,2021-04-26,10
2021-04-13,2014,long,0.589,5.0,2021-04-26,10
2021-04-13,3046,long,0.6759,5.0,2021-04-26,10
2021-04-13,3058,long,0.6274,5.0,2021-04-26,10
2021-04-13,3308,long,0.771,5.0,2021-04-26,10
2021-04-13,5344,long,0.4778,5.0,2021-04-26,10
2021-04-13,6582,long,0.9681,5.0,2021-04-26,10
2021-04-13,6668,long,0.5,5.0,2021-04-26,10
2021-04-14,1418,long,0.7082,10.0,2021-04-27,10
2021-04-14,3006,long,0.5859,5.0,2021-04-27,10
2021-04-14,6643,long,0.5774,5.0,2021-04-27,10
2021-04-14,7402,long,0.4676,5.0,2021-04-27,10
2021-04-15,4726,long,0.5227,5.0,2021-04-28,10
2021-04-15,911616,long,,,2021-04-28,10
2021-04-16,3228,long,-0.265,20.0,2021-05-10,16
2021-04-16,3661,long,-0.4158,5.0,2021-05-10,16
2021-04-19,3138,long,-0.5083,5.0,2021-05-03,10
2021-04-19,9105,long,,,2021-05-03,10
2021-04-20,3379,long,0.4476,5.0,2021-05-04,10
2021-04-20,3687,long,0.4887,5.0,2021-05-04,10
2021-04-20,9110,long,,,2021-05-04,10
2021-04-22,1608,long,0.8155,5.0,2021-05-06,10
2021-04-22,1905,long,1.1382,5.0,2021-05-06,10
2021-04-22,2007,long,0.8,5.0,2021-05-06,10
2021-04-22,2022,long,1.0614,5.0,2021-05-06,10
2021-04-22,5608,long,0.776,20.0,2021-05-06,10
2021-04-23,1616,long,0.7794,5.0,2021-05-12,13
2021-04-23,2017,long,1.1538,5.0,2021-05-07,10
2021-04-23,2641,long,0.5246,5.0,2021-05-07,10
2021-04-23,5475,long,1.0429,10.0,2021-05-12,13
2021-04-26,2033,long,0.7287,5.0,2021-05-10,10
2021-04-26,2605,long,0.4682,5.0,2021-05-10,10
2021-04-26,2637,long,0.8312,5.0,2021-05-10,10
2021-04-26,8261,long,0.5568,5.0,2021-05-10,10
2021-04-27,2543,long,0.3764,5.0,2021-05-11,10
2021-04-27,2601,long,0.5395,5.0,2021-05-11,10
2021-04-27,3060,long,0.947,5.0,2021-05-14,13
2021-04-27,3536,long,0.7128,45.0,2021-05-14,13
2021-04-27,6404,long,0.4605,45.0,2021-05-11,10
2021-04-27,911868,long,,,2021-05-11,10
2021-04-29,3057,long,0.8019,5.0,2021-05-13,10
2021-05-03,6116,long,0.8626,5.0,2021-05-14,10
2021-05-04,2495,long,0.8943,5.0,2021-05-17,10
2021-05-04,3362,long,-0.2858,20.0,2021-05-17,10
2021-05-06,1441,long,0.8293,5.0,2021-05-19,10
2021-05-07,5205,long,0.6199,60.0,2021-05-25,13
2021-05-13,2929,long,0.8957,20.0,2021-05-26,10
2021-05-17,3228,long,-0.4014,20.0,2021-06-16,22
2021-05-18,6547,long,0.458,5.0,2021-05-31,10
2021-05-19,1475,long,-0.383,5.0,2021-06-01,10
2021-05-19,1732,long,0.9861,5.0,2021-06-01,10
2021-05-19,2617,long,0.0909,5.0,2021-06-01,10
2021-05-19,6465,long,-0.4486,5.0,2021-06-04,13
2021-05-19,6589,long,0.1182,5.0,2021-06-01,10
2021-05-19,9103,long,,,2021-06-01,10
2021-05-20,4171,long,0.3418,5.0,2021-06-02,10
2021-05-20,6150,long,-0.3429,20.0,2021-06-02,10
2021-05-21,1760,long,0.4313,5.0,2021-06-03,10
2021-05-21,4131,long,0.2301,45.0,2021-06-03,10
2021-05-24,6472,long,0.4515,5.0,2021-06-16,17
2021-05-26,6242,long,0.5959,5.0,2021-06-08,10
2021-05-27,911616,long,,,2021-06-09,10
2021-05-31,1435,long,-0.0428,5.0,2021-06-11,10
2021-05-31,2491,long,0.2602,5.0,2021-06-11,10
2021-05-31,2615,long,0.6315,5.0,2021-06-11,10
2021-05-31,2642,long,1.2229,5.0,2021-06-17,13
2021-05-31,4746,long,0.7007,5.0,2021-06-11,10
2021-05-31,5475,long,0.5709,20.0,2021-06-21,15
2021-06-01,5603,long,0.3633,5.0,2021-06-15,10
2021-06-01,6485,long,0.0134,5.0,2021-06-29,20
2021-06-02,2014,long,0.3562,5.0,2021-06-16,10
2021-06-02,4152,long,0.0171,45.0,2021-06-16,10
2021-06-03,2636,long,0.6963,5.0,2021-06-17,10
2021-06-03,4121,long,0.7146,5.0,2021-06-17,10
2021-06-04,1455,long,0.5053,5.0,2021-06-18,10
2021-06-04,2465,long,0.6824,5.0,2021-06-18,10
2021-06-04,6199,long,0.4873,5.0,2021-06-18,10
2021-06-07,2028,long,0.2973,5.0,2021-06-21,10
2021-06-07,2038,long,0.3234,5.0,2021-06-21,10
2021-06-07,6547,long,-0.1618,20.0,2021-06-21,10
2021-06-08,8905,long,0.7143,5.0,2021-06-22,10
2021-06-09,3530,long,0.6333,5.0,2021-06-23,10
2021-06-16,3339,long,0.9128,5.0,2021-07-02,13
2021-06-17,2614,long,0.6193,5.0,2021-07-05,13
2021-06-18,2603,long,0.789,5.0,2021-07-01,10
2021-06-18,2641,long,0.8289,5.0,2021-07-07,14
2021-06-18,3169,long,0.5442,5.0,2021-07-01,10
2021-06-18,5608,long,0.8925,5.0,2021-07-06,13
2021-06-21,6640,long,0.4602,5.0,2021-07-07,13
2021-06-21,8040,long,0.7559,5.0,2021-07-02,10
2021-06-22,2609,long,0.7266,5.0,2021-07-05,10
2021-06-22,6756,long,0.5702,5.0,2021-07-08,13
2021-06-23,8406,long,0.5714,5.0,2021-07-06,10
2021-06-24,1905,long,0.2727,5.0,2021-07-07,10
2021-06-24,3687,long,0.4394,5.0,2021-07-07,10
2021-06-24,8429,long,0.6293,5.0,2021-07-07,10
2021-06-25,1455,long,-0.0612,20.0,2021-07-08,10
2021-06-25,6465,long,0.6571,20.0,2021-07-08,10
2021-06-28,2605,long,0.7665,5.0,2021-07-09,10
2021-06-29,2601,long,0.9535,5.0,2021-07-12,10
2021-06-29,2613,long,0.845,5.0,2021-07-12,10
2021-06-29,6130,long,0.4106,5.0,2021-07-12,10
2021-06-29,6741,long,0.7672,5.0,2021-07-12,10
2021-06-30,2612,long,0.8372,5.0,2021-07-13,10
2021-06-30,5464,long,0.5876,5.0,2021-07-13,10
2021-07-01,2022,long,0.7249,5.0,2021-07-14,10
2021-07-01,2607,long,1.1996,5.0,2021-07-14,10
2021-07-01,2611,long,1.349,5.0,2021-07-14,10
2021-07-01,9110,long,,,2021-07-14,10
2021-07-01,911616,long,,,2021-07-29,21
2021-07-02,2007,long,0.4742,5.0,2021-07-15,10
2021-07-02,2030,long,0.6411,5.0,2021-07-15,10
2021-07-02,2033,long,0.4213,5.0,2021-07-15,10
2021-07-02,2064,long,0.3489,5.0,2021-07-15,10
2021-07-02,3609,long,0.75,5.0,2021-07-15,10
2021-07-02,6170,long,0.5891,5.0,2021-07-15,10
2021-07-02,911622,long,,,2021-07-20,13
2021-07-05,2024,long,0.7736,5.0,2021-07-16,10
2021-07-05,2025,long,0.5664,45.0,2021-07-21,13
2021-07-05,3141,long,0.7132,5.0,2021-07-16,10
2021-07-05,4529,long,0.3642,5.0,2021-07-16,10
2021-07-05,9962,long,0.4934,5.0,2021-07-16,10
2021-07-06,2023,long,0.6191,5.0,2021-07-19,10
2021-07-06,2032,long,0.891,5.0,2021-07-19,10
2021-07-06,2069,long,0.6535,5.0,2021-07-19,10
2021-07-07,2603,long,1.0271,20.0,2021-07-20,10
2021-07-07,6509,long,0.6672,5.0,2021-07-20,10
2021-07-07,9188,long,,,2021-07-20,10
2021-07-08,4406,long,0.13,5.0,2021-07-21,10
2021-07-12,2486,long,0.7611,5.0,2021-07-23,10
2021-07-12,5227,long,1.2731,5.0,2021-07-23,10
2021-07-12,6287,long,0.7415,45.0,2021-07-23,10
2021-07-12,6573,long,0.6466,5.0,2021-07-23,10
2021-07-14,2614,long,1.6705,20.0,2021-07-27,10
2021-07-14,3372,long,0.4286,5.0,2021-07-27,10
2021-07-14,3675,long,0.5238,5.0,2021-07-27,10
2021-07-15,3035,long,0.518,5.0,2021-07-28,10
2021-07-15,6716,long,0.3614,5.0,2021-07-28,10
2021-07-16,3228,long,0.0801,5.0,2021-07-29,10
2021-07-20,6727,long,0.648,5.0,2021-08-05,13
2021-07-21,1742,long,0.4665,5.0,2021-08-03,10
2021-07-21,3219,long,0.5343,5.0,2021-08-03,10
2021-07-21,5340,long,0.4389,5.0,2021-08-03,10
2021-07-21,6104,long,0.8399,5.0,2021-08-03,10
2021-07-21,6229,long,0.6805,5.0,2021-08-03,10
2021-07-26,4945,long,0.6569,5.0,2021-08-06,10
2021-07-26,9962,long,1.1157,20.0,2021-08-06,10
2021-07-27,5321,long,0.3853,5.0,2021-08-09,10
2021-07-27,6226,long,0.7947,5.0,2021-08-09,10
2021-07-28,5432,long,0.5735,5.0,2021-08-10,10
2021-07-28,6291,long,0.6917,5.0,2021-08-10,10
2021-07-29,2609,long,-0.3534,20.0,2021-08-11,10
2021-07-29,6568,long,0.5203,5.0,2021-08-11,10
2021-08-02,3663,long,0.6708,5.0,2021-08-13,10
2021-08-02,5475,long,-0.0441,5.0,2021-08-13,10
2021-08-04,1783,long,0.763,5.0,2021-08-17,10
2021-08-04,3114,long,0.581,5.0,2021-08-20,13
2021-08-10,1734,long,0.4555,5.0,2021-08-23,10
2021-08-10,4192,long,0.8527,5.0,2021-08-23,10
2021-08-10,5227,long,0.4204,20.0,2021-08-23,10
2021-08-10,8476,long,0.6904,5.0,2021-08-23,10
2021-08-13,6727,long,-0.1903,20.0,2021-08-26,10
2021-08-19,4803,long,-0.4469,10.0,2021-09-06,13
2021-08-24,3527,long,0.3402,5.0,2021-09-09,13
2021-08-25,6419,long,0.4499,5.0,2021-09-10,13
2021-08-27,3675,long,0.115,5.0,2021-09-09,10
2021-08-30,2013,long,0.6835,5.0,2021-09-10,10
2021-08-30,6469,long,0.3243,5.0,2021-09-10,10
2021-09-01,3207,long,0.515,5.0,2021-09-14,10
2021-09-01,4154,long,0.583,5.0,2021-09-14,10
2021-09-01,5227,long,0.2151,20.0,2021-09-14,10
2021-09-01,9105,long,,,2021-09-14,10
2021-09-02,4175,long,0.3547,5.0,2021-09-15,10
2021-09-06,6568,long,0.2004,20.0,2021-09-17,10
2021-09-07,8121,long,0.3708,5.0,2021-10-07,21
